-8349,2134,193
-8404,2116,193
-8449,2094,194
-8492,2067,194
-8584,1987,193
-8611,1960,193
-8646,1920,193
-8689,1868,193
-8734,1809,193
-8754,1782,192
-8777,1750,192
-8820,1684,192
-8862,1619,193
-8886,1580,193
-8913,1534,193
-8939,1487,193
-8961,1444,193
-8988,1389,193
-9028,1307,194
-9047,1266,194
-9089,1172,195
-9124,1094,195
-9163,1002,195
-9178,967,195
-9219,871,196
-9269,770,195
-9285,742,195
-9307,704,195
-9353,636,195
-9398,587,195
-9436,557,195
-9483,535,195
-9499,531,195
-9550,528,195
-9589,538,195
-9623,552,195
-9651,568,195
-9697,600,195
-9737,634,195
-9770,665,195
-9794,690,196
-9849,751,196
-9886,794,196
-9898,808,196
-9948,875,196
-10007,953,197
-10048,1006,197
-10091,1060,197
-10330,1334,200
-10367,1371,200
-10425,1426,201
-10488,1479,202
-10535,1513,202
-10579,1542,203
-10645,1578,203
-10690,1599,203
-10757,1624,203
-10838,1646,203
-10890,1654,204
-10961,1656,203
-11054,1639,203
-11116,1615,203
-11173,1585,203
-11225,1553,203
-11284,1504,202
-11339,1447,202
-11380,1399,202
-11437,1321,202
-11492,1239,202
-11516,1201,202
-11561,1124,202
-11606,1046,202
-11648,965,202
-11702,862,203
-11727,812,203
-11776,715,203
-11809,648,203
-11869,533,203
-12060,165,203
-12120,51,204
-12170,-39,204
-12221,-132,204
-12269,-218,204
-12331,-328,204
-12388,-433,204
-12401,-457,204
-12466,-581,204
-12539,-714,203
-12619,-856,204
-12651,-912,204
-12694,-983,204
-12747,-1067,204
-12785,-1127,204
-12834,-1198,204
-12899,-1294,204
-12949,-1372,204
-13005,-1463,203
-13042,-1525,203
-13108,-1637,203
-13150,-1711,203
-13173,-1762,203
-13200,-1889,202
-13195,-2006,202
-13182,-2078,202
-13172,-2122,201
-13139,-2223,200
-13091,-2319,201
-13050,-2382,201
-13014,-2427,201
-12947,-2494,201
-12882,-2545,201
-12789,-2602,200
-12738,-2628,198
-12674,-2657,196
-12589,-2689,196
-12521,-2712,195
-12458,-2734,195
-12405,-2757,196
-12361,-2783,197
-12347,-2794,197
-12303,-2841,199
-12264,-2902,198
-12239,-2964,198
